state,cases
Alaska,36
Alabama,34
Arizona,96
Arkansas,35
California,764
Colorado,348
Connecticut,60
Delaware,21
Florida,243
Georgia,69
Hawaii,18
Idaho,54
Illinois,200
Indiana,137
Iowa,76
Kansas,36
Kentucky,52
Louisiana,33
Maine,99
Maryland,73
Massachusetts,129
Michigan,330
Minnesota,158
Mississippi,12
Missouri,91
Montana,75
Nebraska,49
Nevada,40
New Hampshire,58
New Jersey,90
New Mexico,67
New York,329
North Carolina,257
North Dakota,12
Ohio,225
Oklahoma,27
Oregon,266
Pennsylvania,282
Rhode Island,17
South Carolina,61
South Dakota,16
Tennessee,82
Texas,251
Utah,30
Vermont,55
Virginia,190
Washington,369
West Virginia,23
Wisconsin,160
Wyoming,24
